tanggal,hari,cuaca,jumlah_transaksi,jumlah_sprei,berat_total_kg,jenis_layanan_terbanyak,jam_teramai,staff_pagi_count,staff_sore_count,total_staff_available,hours_pagi,hours_sore,kapasitas_teoritis_transaksi,status_mesin,stok_deterjen,estimasi_waktu_selesai_jam,indikator_antrian,biaya_operasional,biaya_tak_terduga,biaya_lembur,pendapatan_harian,laba_harian,bulan,jenis_pengeluaran,nominal,keterangan,id_waktu
2024-01-15,Monday,cerah,11,0,107.5,cuci-setrika,17:00,2,2,4,8,7,10,normal,cukup,8.25,potensi_antrian,183307,60000,60000,752439,692439,2024-01,biaya_tak_terduga,60000,biaya operasional tak terduga,20240115
2024-01-19,Friday,cerah,27,1,285.6,cuci-setrika,17:00,2,2,4,8,7,10,normal,cukup,20.25,potensi_antrian,173061,1020000,1020000,2009006,989006,2024-01,biaya_tak_terduga,1020000,biaya operasional tak terduga,20240119
2024-01-20,Saturday,cerah,30,0,302.6,cuci biasa,18:00,2,2,4,8,7,10,normal,cukup,22.5,potensi_antrian,274049,1200000,1200000,2118048,918048,2024-01,biaya_tak_terduga,1200000,biaya operasional tak terduga,20240120
2024-01-21,Sunday,cerah,27,1,273.8,cuci biasa,20:00,2,2,4,8,7,10,normal,cukup,20.25,potensi_antrian,340455,1020000,1020000,1926273,906273,2024-01,biaya_tak_terduga,1020000,biaya operasional tak terduga,20240121
2024-01-24,Wednesday,cerah,5,0,52.2,cuci-setrika,17:00,2,2,4,8,7,10,rusak,cukup,3.75,ok,252916,182265,0,365651,183386,2024-01,biaya_tak_terduga,182265,biaya operasional tak terduga,20240124
2024-01-26,Friday,cerah,30,0,289.8,cuci biasa,17:00,2,2,4,8,7,10,normal,cukup,22.5,potensi_antrian,169097,1200000,1200000,2028934,828934,2024-01,biaya_tak_terduga,1200000,biaya operasional tak terduga,20240126
2024-01-27,Saturday,hujan,66,2,676.9,cuci-setrika,18:00,2,2,4,8,7,10,normal,cukup,49.5,potensi_antrian,173752,3360000,3360000,4758172,1398172,2024-01,biaya_tak_terduga,3360000,biaya operasional tak terduga,20240127
2024-01-28,Sunday,hujan,44,2,441.0,cuci biasa,18:00,2,2,4,8,7,10,normal,menipis,33.0,potensi_antrian,156960,2159626,2040000,3107114,947488,2024-01,biaya_tak_terduga,2159626,biaya operasional tak terduga,20240128
2024-01-29,Monday,cerah,12,0,133.2,cuci biasa,20:00,2,2,4,8,7,10,normal,cukup,9.0,potensi_antrian,318270,120000,120000,932599,812599,2024-01,biaya_tak_terduga,120000,biaya operasional tak terduga,20240129
2024-01-31,Wednesday,hujan,14,0,127.1,paket cepat,18:00,2,2,4,8,7,10,rusak,cukup,10.5,potensi_antrian,239431,512744,240000,889650,376906,2024-01,biaya_tak_terduga,512744,biaya operasional tak terduga,20240131
2024-02-02,Friday,cerah,30,2,293.5,cuci biasa,20:00,2,2,4,8,7,10,normal,menipis,22.5,potensi_antrian,303962,1252719,1200000,2074213,821494,2024-02,biaya_tak_terduga,1252719,biaya operasional tak terduga,20240202
2024-02-03,Saturday,cerah,28,0,296.2,cuci biasa,20:00,2,2,4,8,7,10,normal,cukup,21.0,potensi_antrian,191846,1080000,1080000,2073522,993522,2024-02,biaya_tak_terduga,1080000,biaya operasional tak terduga,20240203
2024-02-04,Sunday,hujan,46,1,470.0,cuci biasa,17:00,2,2,4,8,7,10,normal,menipis,34.5,potensi_antrian,262755,2255004,2160000,3300211,1045207,2024-02,biaya_tak_terduga,2255004,biaya operasional tak terduga,20240204
2024-02-05,Monday,cerah,11,1,119.5,cuci-setrika,17:00,2,2,4,8,7,10,normal,cukup,8.25,potensi_antrian,183662,60000,60000,846571,786571,2024-02,biaya_tak_terduga,60000,biaya operasional tak terduga,20240205
2024-02-06,Tuesday,hujan,22,1,229.1,cuci biasa,18:00,2,2,4,8,7,10,normal,cukup,16.5,potensi_antrian,306921,720000,720000,1613397,893397,2024-02,biaya_tak_terduga,720000,biaya operasional tak terduga,20240206
2024-02-09,Friday,hujan,61,1,602.8,cuci biasa,19:00,2,2,4,8,7,10,normal,cukup,45.75,potensi_antrian,250494,3060000,3060000,4229872,1169872,2024-02,biaya_tak_terduga,3060000,biaya operasional tak terduga,20240209
2024-02-10,Saturday,cerah,28,1,284.0,cuci biasa,20:00,2,2,4,8,7,10,normal,menipis,21.0,potensi_antrian,258177,1194157,1080000,1998251,804094,2024-02,biaya_tak_terduga,1194157,biaya operasional tak terduga,20240210
2024-02-11,Sunday,hujan,46,2,486.4,paket cepat,19:00,2,2,4,8,7,10,normal,cukup,34.5,potensi_antrian,298697,2160000,2160000,3424684,1264684,2024-02,biaya_tak_terduga,2160000,biaya operasional tak terduga,20240211
2024-02-12,Monday,cerah,12,0,96.9,paket cepat,19:00,2,2,4,8,7,10,normal,cukup,9.0,potensi_antrian,159686,120000,120000,678372,558372,2024-02,biaya_tak_terduga,120000,biaya operasional tak terduga,20240212
2024-02-13,Tuesday,hujan,23,0,228.7,cuci biasa,17:00,2,2,4,8,7,10,normal,cukup,17.25,potensi_antrian,168073,780000,780000,1601135,821135,2024-02,biaya_tak_terduga,780000,biaya operasional tak terduga,20240213
2024-02-16,Friday,cerah,30,0,296.8,cuci biasa,18:00,2,2,4,8,7,10,normal,cukup,22.5,potensi_antrian,219252,1200000,1200000,2077632,877632,2024-02,biaya_tak_terduga,1200000,biaya operasional tak terduga,20240216
2024-02-17,Saturday,hujan,53,1,508.7,cuci-setrika,20:00,2,2,4,8,7,10,rusak,cukup,39.75,potensi_antrian,307261,2868051,2580000,3570874,702823,2024-02,biaya_tak_terduga,2868051,biaya operasional tak terduga,20240217
2024-02-18,Sunday,cerah,28,1,286.2,cuci biasa,17:00,2,2,4,8,7,10,normal,cukup,21.0,potensi_antrian,243980,1080000,1080000,2013208,933208,2024-02,biaya_tak_terduga,1080000,biaya operasional tak terduga,20240218
2024-02-19,Monday,cerah,11,0,132.3,cuci biasa,18:00,2,2,4,8,7,10,normal,cukup,8.25,potensi_antrian,188787,60000,60000,926159,866159,2024-02,biaya_tak_terduga,60000,biaya operasional tak terduga,20240219
2024-02-20,Tuesday,cerah,12,1,150.8,cuci biasa,18:00,2,2,4,8,7,10,normal,cukup,9.0,potensi_antrian,257539,120000,120000,1065787,945787,2024-02,biaya_tak_terduga,120000,biaya operasional tak terduga,20240220
2024-02-21,Wednesday,hujan,11,0,136.9,cuci biasa,19:00,2,2,4,8,7,10,normal,cukup,8.25,potensi_antrian,287069,60000,60000,958279,898279,2024-02,biaya_tak_terduga,60000,biaya operasional tak terduga,20240221
2024-02-22,Thursday,hujan,15,0,147.9,cuci biasa,18:00,2,2,4,8,7,10,normal,cukup,11.25,potensi_antrian,204220,300000,300000,1035214,735214,2024-02,biaya_tak_terduga,300000,biaya operasional tak terduga,20240222
2024-02-23,Friday,cerah,27,1,263.2,cuci-setrika,18:00,2,2,4,8,7,10,normal,cukup,20.25,potensi_antrian,340135,1020000,1020000,1852303,832303,2024-02,biaya_tak_terduga,1020000,biaya operasional tak terduga,20240223
2024-02-24,Saturday,cerah,27,0,256.1,cuci-setrika,20:00,2,2,4,8,7,10,normal,cukup,20.25,potensi_antrian,246111,1020000,1020000,1792815,772815,2024-02,biaya_tak_terduga,1020000,biaya operasional tak terduga,20240224
2024-02-25,Sunday,hujan,50,0,527.6,cuci biasa,19:00,2,2,4,8,7,10,normal,cukup,37.5,potensi_antrian,245665,2400000,2400000,3693535,1293535,2024-02,biaya_tak_terduga,2400000,biaya operasional tak terduga,20240225
2024-02-27,Tuesday,hujan,18,0,188.9,cuci biasa,17:00,2,2,4,8,7,10,normal,cukup,13.5,potensi_antrian,224567,480000,480000,1322153,842153,2024-02,biaya_tak_terduga,480000,biaya operasional tak terduga,20240227
2024-02-28,Wednesday,hujan,17,0,160.9,cuci biasa,19:00,2,2,4,8,7,10,normal,cukup,12.75,potensi_antrian,231768,420000,420000,1126339,706339,2024-02,biaya_tak_terduga,420000,biaya operasional tak terduga,20240228
2024-03-01,Friday,hujan,58,0,554.8,cuci-setrika,18:00,2,2,4,8,7,10,normal,menipis,43.5,potensi_antrian,295448,2949086,2880000,3883820,934734,2024-03,biaya_tak_terduga,2949086,biaya operasional tak terduga,20240301
2024-03-02,Saturday,cerah,26,0,251.6,cuci biasa,20:00,2,2,4,8,7,10,normal,menipis,19.5,potensi_antrian,251665,1055734,960000,1760870,705136,2024-03,biaya_tak_terduga,1055734,biaya operasional tak terduga,20240302
2024-03-03,Sunday,cerah,28,4,256.4,cuci biasa,18:00,2,2,4,8,7,10,normal,cukup,21.0,potensi_antrian,209500,1080000,1080000,1834487,754487,2024-03,biaya_tak_terduga,1080000,biaya operasional tak terduga,20240303
2024-03-05,Tuesday,cerah,11,1,112.8,cuci-setrika,17:00,2,2,4,8,7,10,normal,cukup,8.25,potensi_antrian,196099,60000,60000,799741,739741,2024-03,biaya_tak_terduga,60000,biaya operasional tak terduga,20240305
2024-03-08,Friday,hujan,56,2,557.1,cuci-setrika,17:00,2,2,4,8,7,10,normal,cukup,42.0,potensi_antrian,293309,2760000,2760000,3919958,1159958,2024-03,biaya_tak_terduga,2760000,biaya operasional tak terduga,20240308
2024-03-09,Saturday,cerah,25,0,250.3,cuci-setrika,17:00,2,2,4,8,7,10,normal,cukup,18.75,potensi_antrian,248826,900000,900000,1752197,852197,2024-03,biaya_tak_terduga,900000,biaya operasional tak terduga,20240309
2024-03-10,Sunday,cerah,28,1,292.0,cuci-setrika,17:00,2,2,4,8,7,10,normal,cukup,21.0,potensi_antrian,186609,1080000,1080000,2054147,974147,2024-03,biaya_tak_terduga,1080000,biaya operasional tak terduga,20240310
2024-03-12,Tuesday,cerah,11,0,98.1,cuci biasa,17:00,2,2,4,8,7,10,normal,cukup,8.25,potensi_antrian,199067,60000,60000,686931,626931,2024-03,biaya_tak_terduga,60000,biaya operasional tak terduga,20240312
2024-03-15,Friday,cerah,26,0,268.3,paket cepat,20:00,2,2,4,8,7,10,normal,cukup,19.5,potensi_antrian,226253,960000,960000,1878188,918188,2024-03,biaya_tak_terduga,960000,biaya operasional tak terduga,20240315
2024-03-16,Saturday,hujan,55,2,551.9,cuci biasa,19:00,2,2,4,8,7,10,normal,cukup,41.25,potensi_antrian,157415,2700000,2700000,3883246,1183246,2024-03,biaya_tak_terduga,2700000,biaya operasional tak terduga,20240316
2024-03-17,Sunday,cerah,29,1,279.0,cuci biasa,19:00,2,2,4,8,7,10,normal,cukup,21.75,potensi_antrian,227603,1140000,1140000,1962788,822788,2024-03,biaya_tak_terduga,1140000,biaya operasional tak terduga,20240317
2024-03-18,Monday,hujan,22,1,224.6,paket cepat,18:00,2,2,4,8,7,10,normal,cukup,16.5,potensi_antrian,189194,720000,720000,1582397,862397,2024-03,biaya_tak_terduga,720000,biaya operasional tak terduga,20240318
2024-03-19,Tuesday,cerah,12,0,123.6,cuci biasa,18:00,2,2,4,8,7,10,normal,cukup,9.0,potensi_antrian,169552,120000,120000,865236,745236,2024-03,biaya_tak_terduga,120000,biaya operasional tak terduga,20240319
2024-03-22,Friday,hujan,47,2,500.7,cuci biasa,18:00,2,2,4,8,7,10,normal,cukup,35.25,potensi_antrian,286355,2220000,2220000,3525215,1305215,2024-03,biaya_tak_terduga,2220000,biaya operasional tak terduga,20240322
2024-03-23,Saturday,cerah,27,2,273.4,cuci-setrika,17:00,2,2,4,8,7,10,normal,cukup,20.25,potensi_antrian,337776,1020000,1020000,1934004,914004,2024-03,biaya_tak_terduga,1020000,biaya operasional tak terduga,20240323
2024-03-24,Sunday,cerah,26,1,241.6,cuci-setrika,18:00,2,2,4,8,7,10,normal,cukup,19.5,potensi_antrian,173199,960000,960000,1701077,741077,2024-03,biaya_tak_terduga,960000,biaya operasional tak terduga,20240324
2024-03-25,Monday,hujan,19,1,194.8,cuci biasa,19:00,2,2,4,8,7,10,normal,cukup,14.25,potensi_antrian,311121,540000,540000,1373700,833700,2024-03,biaya_tak_terduga,540000,biaya operasional tak terduga,20240325
2024-03-26,Tuesday,hujan,17,1,186.3,cuci-setrika,19:00,2,2,4,8,7,10,normal,cukup,12.75,potensi_antrian,177048,420000,420000,1314401,894401,2024-03,biaya_tak_terduga,420000,biaya operasional tak terduga,20240326
2024-03-27,Wednesday,hujan,11,2,113.7,paket cepat,17:00,2,2,4,8,7,10,rusak,cukup,8.25,potensi_antrian,279974,255095,60000,815850,560755,2024-03,biaya_tak_terduga,255095,biaya operasional tak terduga,20240327
2024-03-29,Friday,cerah,28,1,285.6,cuci biasa,19:00,2,2,4,8,7,10,normal,cukup,21.0,potensi_antrian,332949,1080000,1080000,2008852,928852,2024-03,biaya_tak_terduga,1080000,biaya operasional tak terduga,20240329
2024-03-30,Saturday,cerah,30,2,287.2,cuci biasa,18:00,2,2,4,8,7,10,normal,cukup,22.5,potensi_antrian,314005,1200000,1200000,2030480,830480,2024-03,biaya_tak_terduga,1200000,biaya operasional tak terduga,20240330
